Name,State,Party,DW-Nominate,Legislative Efficacy Score,Misalignment,CR_mean,CR_std,CR_median,CR_97.5,CR_2.5,PR_mean,PR_std,PR_median,PR_97.5,PR_2.5,Combine_mean,Combine_std,Combine_median,Combine_97.5,Combine_2.5, K-S score
"Cohen, Steve",tn,Democratic,-0.401,0.533103168,0.0,0.355621775475,0.0658950643445,0.362740127146,0.466617618757,0.203648893791,0.444866003396,0.0858390929719,0.436874379032,0.620391488573,0.30003422836,0.411341226157,0.0682734896486,0.410654021621,0.5416965718,0.274165608728,0.42528379773
"Webster, Daniel",fl,Republican,0.464,0.045694556,1.0,0.7698657399,0.0561404230295,0.771243767906,0.872492782887,0.656022727419,0.725866162076,0.0937978261031,0.732228150091,0.887248455699,0.574248111788,0.732588277823,0.094345645611,0.728382357226,0.914757942699,0.579568647812,0.313375125835
"Sarbanes, John",md,Democratic,-0.461,0.106620632,0.0,0.633293231646,0.0512873988908,0.634371962956,0.72320469713,0.525088947335,0.0708048767521,0.0792339579744,0.0414961495105,0.268233235861,0.0,0.141517937686,0.0735194348369,0.148504036986,0.279326825048,0.0,1.0
"Carson, Andre",in,Democratic,-0.443,0.201056048,0.0,0.514781835954,0.0702503984406,0.522221474757,0.629077915255,0.379828001423,0.310088004352,0.0745886760575,0.295127585166,0.488038233861,0.204837151133,0.3111529845,0.0683602037454,0.314875668905,0.447224776899,0.170556852621,0.846096909778
"Sires, Albio",nj,Democratic,-0.406,0.167546704,0.0,0.60122756163,0.0581367806345,0.59712558116,0.712505586355,0.48331173545,0.0308254595173,0.0596521093705,0.0,0.202309695958,0.0,0.0481803467678,0.0554252744087,0.0227773645966,0.169035141283,0.0,1.0
"Aderholt, Robert",al,Republican,0.358,0.908495426,0.0,0.634707816412,0.0614757611991,0.637164839494,0.766676513301,0.489219498176,0.599359811966,0.108852759559,0.593192454426,0.830395199342,0.378898565326,0.603816226448,0.0959715447926,0.595822021145,0.817594170922,0.437717914569,0.285617367707
"Labrador, Raul",id,Republican,0.729,1.074603796,0.0,0.771136117262,0.0556970229621,0.772016614986,0.882177306748,0.665596352274,0.641989483665,0.0875150507972,0.638115251026,0.802707210605,0.499828992116,0.626701029704,0.0818484850179,0.629994642423,0.761555390612,0.481896247499,0.62108132667
"Foster, Bill",il,Democratic,-0.219,0.213241264,0.0,0.495399696732,0.0559557517544,0.497451629688,0.600240696772,0.356438453117,0.33888402588,0.0758397944299,0.333480698408,0.510153767736,0.206284495687,0.304291025172,0.0676505572492,0.30557987522,0.421830525007,0.17395057132,0.790137694029
"Lynch, Stephen",ma,Democratic,-0.352,0.820782959,0.0,0.646070538078,0.0648403444537,0.653192418524,0.747192553256,0.516572492521,0.428803647348,0.0736300092872,0.425568062029,0.587826156336,0.292485842093,0.473868521678,0.0710182080412,0.47782673937,0.60702076822,0.3427476973,0.8785660941
"Sensenbrenner, F.",wi,Republican,0.646,2.068677902,0.0,0.744122478761,0.0631086516195,0.749833921838,0.868192981949,0.622913060046,0.57223263887,0.0906253636708,0.574534306815,0.751589610164,0.419615246705,0.598081269339,0.0834634590657,0.595472110127,0.736497783541,0.453120128916,0.727824272799
